date,observed,trend,seasonal,resid
2021-06-06,39.0,36.259171980576475,3.2117271245228802,-0.47089910509935606
2021-06-13,32.0,36.22794862860474,-3.6435731599966736,-0.5843754686080658
2021-06-20,43.0,36.196732230065265,5.910531441922421,0.8927363280123117
2021-06-27,55.0,36.16552335991015,20.794014379730918,-1.9595377396410711
2021-07-04,43.0,36.13432196307881,6.809564713337441,0.05611332358375165
2021-07-11,44.0,36.103130076400085,6.821905501714276,1.074964421885639
2021-07-18,44.0,36.071949726041765,7.748162434301867,0.17988783965636657
2021-07-25,33.0,36.04078113465159,-3.911162544706048,0.8703814100544562
2021-08-01,45.0,36.00962334485694,8.874388524066253,0.11598813107680428
2021-08-08,29.0,35.97847384964865,-6.881314298744406,-0.09715955090424444
2021-08-15,45.0,35.94732939506625,8.234235954852174,0.8184346500815778
2021-08-22,34.0,35.916186196199796,-1.8840752252224329,-0.032110970977363706
2021-08-29,37.0,35.88503911531453,0.002278058993868376,1.112682825691607
2021-09-05,44.0,35.85388205102488,7.168916807257719,0.9772011417174014
2021-09-12,19.0,35.822706883594655,-17.084541450762973,0.26183456716831444
2021-09-19,35.0,35.79150345266368,0.504953126612617,-1.2964565792763025
2021-09-26,34.0,35.76026076891695,-1.9679073405849723,0.2076465716680218
2021-10-03,37.0,35.72896848554478,1.7246972384042039,-0.45366572394898697
2021-10-10,20.0,35.69761588572579,-15.865490595548678,0.16787470982288966
2021-10-17,28.0,35.666192006714574,-6.418349676868583,-1.2478423298459944
2021-10-24,26.0,35.63468549369382,-8.238164914301189,-1.3965205793926359
2021-10-31,27.0,35.60308594854784,-9.667689664182898,1.0646037156350587
2021-11-07,0.0,35.571383900355016,-35.505357584684,-0.06602631567101724
2021-11-14,28.0,35.53956860590534,-8.758000332144318,1.2184317262389825
2021-11-21,16.0,35.50762816501882,-18.652463424377117,-0.8551647406417047
2021-11-28,32.0,35.47554889211536,-4.279494890305961,0.8039459981905992
2021-12-05,25.0,35.443316651791314,-8.446566172685472,-1.9967504791058417
2021-12-12,24.0,35.41091629478174,-9.422901726288911,-1.9880145684928294
2021-12-19,31.0,35.37833430775477,-6.048785990623307,1.6704516828685385
2021-12-26,18.0,35.345559000851495,-16.914613619393375,-0.4309453814581161
2022-01-02,24.0,35.31257713844823,-11.188431500361073,-0.12414563808715684
2022-01-09,33.0,35.27937521680457,-1.9569629520042917,-0.3224122648002776
2022-01-16,38.0,35.24593990290346,2.9186815817949703,-0.1646214846984293
2022-01-23,30.0,35.2122583578635,-5.5034196570310545,0.2911612991675554
2022-01-30,29.0,35.178318148430414,-6.802871732134288,0.6245535837038716
2022-02-06,28.0,35.1441064729464,-6.343015134341698,-0.8010913386046994
2022-02-13,26.0,35.10961001257969,-9.275881238092225,0.16627122551253848
2022-02-20,31.0,35.07481711021174,-3.3805214259844036,-0.6942956842273347
2022-02-27,37.0,35.03971757051902,-0.23119601911415505,2.1914784485951415
2022-03-06,35.0,35.00430307012253,-0.275481886434578,0.27117881631204455
2022-03-13,36.0,34.96856266567856,1.6857527544086595,-0.6543154200872223
2022-03-20,34.0,34.93248525335101,0.7961512699865573,-1.7286365233375705
2022-03-27,31.0,34.896064196806805,-2.3742508081732687,-1.5218133886335323
2022-04-03,44.0,34.85930255552206,8.6267405804378,0.5139568640401393
2022-04-10,49.0,34.82221468197214,14.24050165956614,-0.06271634153828387
2022-04-17,46.0,34.78482220573663,11.771709114152255,-0.5565313198888902
2022-04-24,60.0,34.74715586419667,25.21464416488757,0.03819997091575544
2022-05-01,56.0,34.70925862011424,19.411388330968776,1.8793530489169825
2022-05-08,44.0,34.67118208254834,8.564135673294555,0.7646822441571004
2022-05-15,46.0,34.63297554731144,10.896499380796376,0.4705250718921832
2022-05-22,74.0,34.594681372897895,6.008962353254857,33.396356273847246
2022-05-29,59.0,34.543786196834155,23.428513803369192,1.0276999997966527
2022-06-05,58.0,34.49261307814154,5.3552759616995305,18.15211096015893
