slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
top_03,니트베스트,top,마이크로,마이크로,도입,-1.5789,1.0095,0.0074,0.0475,-0.0187,0.1085,0.1374,2.2785,1.7857,0.0,100.0,7.0,262,52,0
top_04,맨투맨,top,메가,스테디,쇠퇴/잔존,2.4378,-1.0477,0.7861,0.9206,-0.1527,-0.031,0.3473,0.1375,2.4096,0.0,100.0,9.0,262,52,1
top_05,후드티,top,메가,스테디,쇠퇴/잔존,2.6205,-1.284,0.587,0.9322,-0.0616,-0.0021,0.5458,0.1122,1.9608,0.1916,100.0,17.0,262,52,1
top_06,셔츠,top,스테디,스테디,정점/성숙,3.551,-1.465,0.5198,0.855,0.0463,0.0732,0.7939,0.0834,1.6393,1.0,100.0,72.0,262,52,2
top_07,블라우스,top,스테디,마이크로,도입,-0.6569,0.9441,0.4022,0.3184,0.048,0.2339,0.0115,0.3264,6.25,1.0,100.0,25.0,262,52,2
top_08,카라티,top,스테디,스테디,성장,-0.5636,-0.5125,0.1564,0.9008,0.0367,0.1059,0.229,0.2341,3.3333,1.0,100.0,57.0,262,52,2
top_09,라운드티,top,마이크로,마이크로,쇠퇴/잔존,-1.7205,1.6372,0.0039,0.0,0.0462,0.0342,0.1107,2.9298,1.6,1.0,100.0,39.0,262,52,0
top_10,나시,top,스테디,스테디,성장,3.3288,-1.2835,0.8081,0.8358,0.1192,0.1043,0.5153,0.096,2.0,1.0,100.0,74.0,262,52,2
top_11,폴로셔츠,top,스테디,스테디,쇠퇴/잔존,0.2236,-1.0896,0.1611,0.7377,0.0591,0.0904,0.3893,0.1992,2.1739,1.0,100.0,62.0,262,52,2
top_12,터틀넥,top,스테디,스테디,도입,-0.9168,-0.6647,0.084,0.8502,0.0238,0.1969,0.2137,0.3626,2.7027,1.0,100.0,24.0,262,52,2
top_13,스웨터,top,스테디,스테디,도입,0.8849,-0.7,0.4933,0.9151,0.0627,0.1669,0.2595,0.1514,3.125,1.0,100.0,19.0,262,52,2
