model,k_or_clusters,silhouette
K-means,2,0.2145
K-means,3,0.2553
K-means,4,0.2677
K-means,5,0.2655
K-means,6,0.269
K-means,7,0.2779
K-means,8,0.2825
계층,2,0.2337
계층,3,0.2456
계층,4,0.2387
계층,5,0.254
계층,6,0.2501
계층,7,0.2542
계층,8,0.2454
HDBSCAN(mcs=5),4,0.2143
HDBSCAN(mcs=8),2,0.299
HDBSCAN(mcs=10),2,0.3221
