slug,category,keyword,display_name
bag_04,bag,백팩,백팩
bag_05,bag,클러치,클러치
bag_06,bag,버킷백,버킷백
bag_07,bag,호보백,호보백
bag_08,bag,미니백,미니백
bag_09,bag,에코백,에코백
bag_10,bag,보스턴백,보스턴백
bag_11,bag,카메라백,카메라백
bag_13,bag,체인백,체인백
bag_14,bag,패딩백,패딩백
bag_15,bag,더플백,더플백
bag_16,bag,메신저백,메신저백
bag_17,bag,라탄백,라탄백
bag_19,bag,슬링백,슬링백
bag_20,bag,캔버스백,캔버스백
bag_a01,bag,새들백,새들백
bag_a02,bag,사첼백,사첼백
bag_a03,bag,캐리어,캐리어
bag_a04,bag,쇼퍼백,쇼퍼백
bag_a05,bag,마이크로백,마이크로백
bag_a06,bag,빅백,빅백
bag_a07,bag,실버백,실버백
bag_a08,bag,벨트백,벨트백
acc_01,acc,머플러,머플러
acc_02,acc,비니,비니
acc_03,acc,버킷햇,버킷햇
acc_05,acc,레그워머,레그워머
acc_06,acc,베레모,베레모
acc_07,acc,볼캡,볼캡
acc_08,acc,스카프,스카프
acc_10,acc,헤어밴드,헤어밴드
acc_11,acc,페도라,페도라
acc_13,acc,벨트,벨트
acc_15,acc,귀도리,귀도리
acc_a01,acc,바라클라바,바라클라바
acc_a02,acc,니삭스,니삭스
acc_a03,acc,진주목걸이,진주목걸이
acc_a04,acc,초커,초커
acc_a05,acc,체인벨트,체인벨트
acc_a06,acc,뱅글,뱅글
acc_a07,acc,스크런치,스크런치
acc_a08,acc,실크스카프,실크스카프
trend_01,trend,Y2K,Y2K
trend_02,trend,발레코어,발레코어
trend_03,trend,고프코어,고프코어
trend_04,trend,올드머니,올드머니
trend_05,trend,시티보이,시티보이
trend_07,trend,긱시크,긱시크
trend_08,trend,언더붑,언더붑
trend_10,trend,그런지룩,그런지룩
trend_11,trend,프레피룩,프레피룩
trend_13,trend,미니멀룩,미니멀룩
trend_15,trend,워크웨어,워크웨어
trend_17,trend,스트릿룩,스트릿룩
trend_19,trend,빈티지룩,빈티지룩
trend_20,trend,댄디룩,댄디룩
trend_22,trend,마린룩,마린룩
trend_23,trend,모던클래식,모던클래식
trend_24,trend,애슬레저,애슬레저
trend_28,trend,프렌치시크,프렌치시크
trend_a01,trend,바비코어,바비코어
trend_a02,trend,놈코어,놈코어
trend_a03,trend,걸코어,걸코어
trend_a04,trend,비건패션,비건패션
trend_a05,trend,퓨처리즘,퓨처리즘
trend_a06,trend,아방가르드,아방가르드
