date,observed,trend,seasonal,resid
2021-06-06,0.0,2.581532810845333e-11,-4.158971406771066e-11,1.5774385959257328e-11
2021-06-13,0.0,2.5417541223665062e-11,-4.079478905943016e-11,1.53772478357651e-11
2021-06-20,0.0,2.5023534981021484e-11,-3.5800943587742563e-11,1.0777408606721079e-11
2021-06-27,0.0,2.4633355419538728e-11,-3.4755026841086006e-11,1.0121671421547278e-11
2021-07-04,0.0,2.4247026633803433e-11,-3.841857173864515e-11,1.4171545104841716e-11
2021-07-11,0.0,2.3864551135777664e-11,-3.762998062516556e-11,1.3765429489387896e-11
2021-07-18,0.0,2.3485905764600366e-11,-2.359418991711823e-11,1.0828415251786346e-13
2021-07-25,0.0,2.311104454899504e-11,-2.2616152746013253e-11,-4.948918029817853e-13
2021-08-01,0.0,2.2739914710107488e-11,9.259432471599631e-11,-1.1533423942610379e-10
2021-08-08,0.0,2.237246095926886e-11,-2.0689539914858197e-11,-1.682921044410662e-12
2021-08-15,0.0,2.2008625314670693e-11,-1.974106614645229e-11,-2.2675591682184014e-12
2021-08-22,0.0,2.1648349105886793e-11,-3.296937610516466e-11,1.1321026999277866e-11
2021-08-29,0.0,2.1291569975395005e-11,-1.7876364082879024e-11,-3.4152058925159812e-12
2021-09-05,0.0,2.093820982382254e-11,-1.696106820856406e-11,-3.9771416152584804e-12
2021-09-12,0.0,2.058818768506272e-11,-1.6057501175247854e-11,-4.530686509814865e-12
2021-09-19,0.0,2.0241424694462886e-11,-1.516518945070541e-11,-5.076235243757478e-12
2021-09-26,0.0,1.9897844982782094e-11,-1.4283283328650557e-11,-5.6145616541315365e-12
2021-10-03,0.0,1.9557376628744303e-11,-1.796207192521742e-11,-1.5953047035268818e-12
2021-10-10,0.0,1.9219951358320428e-11,-1.2545982416647826e-11,-6.6739689416726014e-12
2021-10-17,0.0,1.8885501514081806e-11,-2.6947428433082368e-11,8.061926919000562e-12
2021-10-24,0.0,1.8553960590241675e-11,-2.6196549732930848e-11,7.642589142689173e-12
2021-10-31,0.0,1.8225247613418874e-11,-9.984218264671628e-12,-8.241029348747246e-12
2021-11-07,0.0,1.7899266694601397e-11,-2.4684428971594686e-11,6.785162276993289e-12
2021-11-14,0.0,1.7575920300681516e-11,-8.285232727400557e-12,-9.290687573280958e-12
2021-11-21,0.0,1.7255100754152422e-11,-2.3151121263068916e-11,5.896020508916494e-12
2021-11-28,0.0,1.693669934095549e-11,-2.2373965445915103e-11,5.437266104959615e-12
2021-12-05,0.0,1.6620593028340836e-11,-2.158872638514892e-11,4.968133356808084e-12
2021-12-12,0.0,1.6306638733038984e-11,-2.079172178637847e-11,4.4850830533394855e-12
2021-12-19,0.0,1.5994671526838977e-11,-1.9986604726744725e-11,3.9919331999057484e-12
2021-12-26,0.0,1.568450236905497e-11,-2.9885875059696297e-12,-1.2695914863085339e-11
2022-01-02,0.0,1.537592018358612e-11,-2.0528626357624882e-12,-1.3323057547823631e-11
2022-01-09,0.0,1.5068709589624597e-11,1.036117822343464e-10,-1.18680491823971e-10
2022-01-16,0.0,1.4762652201226898e-11,-1.6684054729277947e-11,1.9214025280510485e-12
2022-01-23,0.0,1.4457508675794307e-11,8.878237177747368e-13,-1.5345332393569043e-11
2022-01-30,0.0,1.4153013223705347e-11,1.920569988617498e-12,-1.6073583212322845e-11
2022-02-06,0.0,1.3848891761037421e-11,2.984970296253142e-12,-1.6833862057290563e-11
2022-02-13,0.0,1.3544869030169488e-11,4.086398387819222e-12,-1.763126741798871e-11
2022-02-20,0.0,1.3240672727344806e-11,-1.2388183768897153e-11,-8.524889584476526e-13
2022-02-27,0.0,1.2936034753344578e-11,8.6461873380512e-13,-1.3800653487149698e-11
2022-03-06,0.0,1.2630681716468614e-11,7.687582833078134e-12,-2.0318264549546746e-11
2022-03-13,0.0,1.232436418090818e-11,-9.737153827634505e-12,-2.587210353273675e-12
2022-03-20,0.0,1.2016890364040711e-11,1.0480884980677715e-11,-2.2497775344718426e-11
2022-03-27,0.0,1.1708157429208572e-11,-7.944253036186874e-12,-3.763904393021698e-12
2022-04-03,0.0,1.139824273099457e-11,1.3996258992485133e-11,-2.5394501723479702e-11
2022-04-10,0.0,1.10875157830128e-11,1.6451013074673803e-11,-2.7538528857686603e-11
2022-04-17,0.0,1.0776843228129672e-11,2.0415507263428368e-11,-3.119235049155804e-11
2022-04-24,0.0,1.0467852983580106e-11,3.186705367184871e-11,-4.2334906655428817e-11
2022-05-01,0.0,1.016322259631793e-11,5.508245196368461e-11,-6.524567456000255e-11
2022-05-08,0.0,9.866838634525387e-12,5.602880081366982e-11,-6.589563944819521e-11
2022-05-15,0.0,9.58342060766187e-12,5.648181842688926e-11,-6.606523903455114e-11
2022-05-22,0.0,9.316739118194068e-12,5.688967770523595e-11,-6.620641682343002e-11
2022-05-29,0.0,9.135629923283294e-12,1.1555775682601714e-11,-2.0691405605885008e-11
2022-06-05,0.0,8.957995310621356e-12,-1.2543400605797429e-11,3.5854052951760728e-12
2022-06-12,0.0,8.783057419100305e-12,-1.2025957459440504e-11,3.2429000403401996e-12
2022-06-19,0.0,8.610209294668026e-12,-1.4368809813007144e-11,5.758600518339119e-12
2022-06-26,0.0,8.439200062223087e-12,-1.4045898167143102e-11,5.6066981049200146e-12
2022-07-03,0.0,8.270049197087998e-12,-1.0553514050854188e-11,2.2834648537661897e-12
2022-07-10,0.0,8.103082262376008e-12,-1.0089412462769429e-11,1.9863302003934203e-12
2022-07-17,0.0,7.938878563522995e-12,-1.6714479117367824e-11,8.775600553844829e-12
2022-07-24,0.0,7.778107963173728e-12,-1.636209019676829e-11,8.583982233594562e-12
2022-07-31,59.0,7.621085503062383e-12,5.393961149200586e-11,58.99999999993844
2022-08-07,0.0,7.467923862461548e-12,-1.567574600534431e-11,8.207822142882763e-12
2022-08-14,0.0,7.318894983700054e-12,-1.5341153024381493e-11,8.022258040681439e-12
2022-08-21,0.0,7.174527639980714e-12,-7.593584898785655e-12,4.1905725880494065e-13
2022-08-28,0.0,7.035138877183873e-12,-1.4688298382438367e-11,7.653159505254494e-12
2022-09-04,0.0,6.90093384863414e-12,-1.4369518110210791e-11,7.468584261576651e-12
2022-09-11,0.0,6.771871927810226e-12,-1.4055338633323516e-11,7.283466705513289e-12
2022-09-18,0.0,6.647374268137929e-12,-1.3745023318566475e-11,7.097649050428546e-12
2022-09-25,0.0,6.526526401436613e-12,-1.3437644470579838e-11,6.9111180691432255e-12
2022-10-02,0.0,6.4081788548911796e-12,-2.285479820871435e-11,1.644661935382317e-11
2022-10-09,0.0,6.290910851646219e-12,-1.2827251936692397e-11,6.536341085046178e-12
2022-10-16,0.0,6.173361651389738e-12,-5.0943563992579476e-12,-1.0790052521317902e-12
2022-10-23,0.0,6.054311327244922e-12,-4.843235211738523e-12,-1.2110761155063996e-12
2022-10-30,0.0,5.932381548454408e-12,-1.1904087420069335e-11,5.971705871614927e-12
2022-11-06,0.0,5.8063106607967435e-12,-4.37240349008793e-12,-1.4339071707088134e-12
2022-11-13,0.0,5.674557890448703e-12,-1.1269890522204702e-11,5.595332631755999e-12
2022-11-20,0.0,5.5356638121955055e-12,-3.93507442781582e-12,-1.600589384379685e-12
2022-11-27,0.0,5.388655325125884e-12,-3.725437061270275e-12,-1.6632182638556085e-12
2022-12-04,0.0,5.232951677963073e-12,-3.5204014111439406e-12,-1.7125502668191322e-12
2022-12-11,0.0,5.068586162689076e-12,-3.3195071911771666e-12,-1.7490789715119097e-12
2022-12-18,0.0,4.89587390325908e-12,-3.1223808690095095e-12,-1.7734930342495708e-12
2022-12-25,0.0,4.715032276832775e-12,-9.172814815015052e-12,4.457782538182278e-12
2023-01-01,0.0,4.526168908150613e-12,-8.785654084709272e-12,4.259485176558659e-12
2023-01-08,64.0,4.3295869671819535e-12,5.5073408519714335e-11,63.9999999999406
2023-01-15,0.0,4.125885775155717e-12,-2.3607093828693686e-12,-1.7651763922863484e-12
2023-01-22,0.0,3.916091349018249e-12,-7.536018854640444e-12,3.6199275056221952e-12
2023-01-29,0.0,3.701516700848308e-12,-7.085122914021521e-12,3.383606213173213e-12
2023-02-05,0.0,3.483283917953159e-12,-6.614059840977831e-12,3.130775923024672e-12
