date,observed,trend,seasonal,resid
2021-06-06,29.0,45.46422846575402,-17.94574837360082,1.4815199078468027
2021-06-13,0.0,45.28845487594755,-44.939078070648236,-0.3493768052993147
2021-06-20,0.0,45.112695535802224,-44.76319172686848,-0.349503808933747
2021-06-27,0.0,44.936950177066954,-44.56301182820189,-0.3739383488650674
2021-07-04,0.0,44.76121945192654,-44.18751434064948,-0.5737051112770644
2021-07-11,0.0,44.58550503590416,-44.28638837046311,-0.29911666544105486
2021-07-18,0.0,44.409809818477584,-43.96088192643793,-0.4489278920396558
2021-07-25,33.0,44.234137650129995,-12.681220897104591,1.4470832469746
2021-08-01,0.0,44.058492845428795,-43.47275128403106,-0.5857415613977324
2021-08-08,0.0,43.88287844742258,-43.20666125420607,-0.6762171932165089
2021-08-15,74.0,43.70729820333454,29.915977181138707,0.3767246155267543
2021-08-22,53.0,43.531757004006934,10.060211713554713,-0.5919687175616488
2021-08-29,50.0,43.3562599227359,5.228397139429909,1.4153429378341897
2021-09-05,46.0,43.180812478045546,3.9782451947048347,-1.1590576727503787
2021-09-12,40.0,43.005419323288734,-0.7691707658159262,-2.2362485574728055
2021-09-19,39.0,42.83008687329329,-3.994682757815054,0.16459588452176632
2021-09-26,57.0,42.65482457455678,14.213034240695194,0.13214118474802916
2021-10-03,50.0,42.47964267576885,8.7613016842587,-1.240944360027548
2021-10-10,78.0,42.304551999378354,32.72367522903425,2.9717727715873963
2021-10-17,81.0,42.12956440268015,40.053948668894186,-1.183513071574339
2021-10-24,100.0,41.95468989902441,57.819318874581924,0.22599122639366698
2021-10-31,52.0,41.77993934727833,12.60384396923352,-2.3837833165118525
2021-11-07,57.0,41.60532473150372,12.114774876774353,3.279900391721924
2021-11-14,57.0,41.430860171357224,14.926385487304694,0.6427543413380832
2021-11-21,59.0,41.25655766592979,14.428393805811163,3.315048528259048
2021-11-28,38.0,41.082427329433365,-3.9684154409446677,0.8859881115113026
2021-12-05,50.0,40.9084757722856,8.947185000998754,0.14433922671564403
2021-12-12,0.0,40.734707568314406,-42.44189811905922,1.7071905507448122
2021-12-19,50.0,40.56112599143263,9.404320248098955,0.03455376046841252
2021-12-26,52.0,40.38773168319571,11.580023201994768,0.03224511480951975
2022-01-02,71.0,40.21452372480249,30.755528298874818,0.02994797632268842
2022-01-09,44.0,40.041499880064826,2.950345214561033,1.0081549053741412
2022-01-16,54.0,39.868656042235806,16.838877986560533,-2.7075340287963385
2022-01-23,45.0,39.69598575468832,6.751700444290934,-1.4476861989792553
2022-01-30,71.0,39.52348406172439,31.45058885592531,0.025927082350300168
2022-02-06,0.0,39.351147135788295,-2.368992545521295,-36.982154590267
2022-02-13,43.0,39.178969974581506,4.053944713617629,-0.23291468819913774
2022-02-20,52.0,39.006945744525424,15.467258901090332,-2.4742046456157567
2022-02-27,59.0,38.835066797786645,19.47785735191214,0.6870758503012198
2022-03-06,44.0,38.663327321793716,5.537665669233523,-0.20099299102724189
2022-03-13,95.0,38.49171962989089,55.755062131654554,0.7532182384545578
2022-03-20,60.0,38.32023364002047,20.816851567826877,0.8629147921526581
2022-03-27,31.0,38.14885471971757,-9.375597306542188,2.2267425868246207
2022-04-03,75.0,37.97756102608915,37.02300732191643,-0.0005683480055793666
2022-04-10,55.0,37.80631974828704,14.707476343625387,2.4862039080875746
2022-04-17,27.0,37.63508804748606,-8.649773270454535,-1.985314777031526
2022-04-24,39.0,37.463809020801726,3.8625547142452774,-2.3263637350470034
2022-05-01,34.0,37.29242242577222,-1.6513661569557543,-1.6410562688164703
2022-05-08,0.0,37.12087168187839,-35.27912372771317,-1.8417479541652213
2022-05-15,30.0,36.949107651173236,-6.8975566526834795,-0.05155099848975908
2022-05-22,0.0,36.77709342401986,-34.793286474028605,-1.983806949991255
2022-05-29,0.0,36.61067365392314,-34.73193810296636,-1.8787355509567831
2022-06-05,0.0,36.44476061508794,-18.956017990171826,-17.48874262491611
2022-06-12,0.0,36.279524065004935,-36.13184486042734,-0.14767920457759232
2022-06-19,0.0,36.11508702762891,-35.950079718418316,-0.16500730921059414
2022-06-26,0.0,35.951478177267774,-35.77317540146637,-0.17830277580140574
2022-07-03,0.0,35.78852222659058,-35.7870411350535,-0.0014810915370802036
2022-07-10,0.0,35.626001990619805,-35.86147451126767,0.2354725206478676
2022-07-17,0.0,35.463707002617184,-35.24882276736424,-0.21488423525294564
2022-07-24,43.0,35.30145273895977,-15.152071853409561,22.850619114449792
2022-07-31,28.0,35.1391041279374,-34.81571340686632,27.67660927892892
2022-08-07,0.0,34.97656129023703,-34.918391795634,-0.05816949460302823
2022-08-14,0.0,34.813709429041346,16.24395308796159,-51.05766251700294
2022-08-21,38.0,34.65030638935946,2.0641364086772755,1.2855572019632646
2022-08-28,40.0,34.48617192260137,5.736831158009812,-0.22300308061118557
2022-09-04,53.0,34.32124927079132,-0.9293068473146049,19.608057576523287
2022-09-11,33.0,34.15557046534741,-5.147889412894177,3.9923189475467638
2022-09-18,55.0,33.9891915823675,-7.936903928896319,28.947712346528817
2022-09-25,65.0,33.82206450410157,17.856673307089967,13.321262188808468
2022-10-02,70.0,33.65426402969921,15.810169632771235,20.535566337529552
2022-10-09,56.0,33.48594993108686,26.32211315683693,-3.808063087923788
2022-10-16,73.0,33.31726408084881,32.75637519258974,6.926360726561448
2022-10-23,49.0,33.14826738978766,52.58875417382559,-36.737021563613254
2022-10-30,60.0,32.9790036704959,23.181166687572258,3.8398296419318427
2022-11-06,37.0,32.80936085407895,12.624571728603055,-8.433932582682008
2022-11-13,44.0,32.63906065057688,11.334730019800519,0.026209329622602695
2022-11-20,40.0,32.467920443753215,10.389403485015658,-2.8573239287688708
2022-11-27,0.0,32.29582308071269,0.23004392676347474,-32.52586700747616
