date,observed,trend,seasonal,resid
2021-06-06,57.0,38.070969970135295,11.267383316351523,7.6616467135131785
2021-06-13,57.0,38.220188260576485,18.684620480795495,0.09519125862802014
2021-06-20,0.0,38.3695159960354,-37.10750615815172,-1.2620098378836815
2021-06-27,42.0,38.51893726665969,2.5160468548297903,0.9650158785105205
2021-07-04,38.0,38.668437180935705,1.3220413721526796,-1.990478553088387
2021-07-11,50.0,38.818000182089875,9.072539853062894,2.1094599648472325
2021-07-18,61.0,38.967611970811824,24.621564739201233,-2.5891767100130565
2021-07-25,47.0,39.11725651828744,2.476939277765199,5.405804203947362
2021-08-01,60.0,39.2669184530466,22.3194245916551,-1.5863430447016995
2021-08-08,59.0,39.41657692353127,19.389746735793814,0.19367634067491935
2021-08-15,61.0,39.566210960086295,24.043867900637828,-2.6100788607241228
2021-08-22,0.0,39.71580020660763,-41.1016792503657,1.3858790437580666
2021-08-29,0.0,39.86532660013567,-33.24120323184522,-6.624123368290448
2021-09-05,54.0,40.014772579720685,12.494796602522015,1.4904308177573
2021-09-12,47.0,40.16412625686674,8.255375254153819,-1.419501511020556
2021-09-19,0.0,40.313376071892264,-39.91374689260632,-0.3996291792859452
2021-09-26,50.0,40.46251177635599,9.249276003425145,0.28821222021886683
2021-10-03,0.0,40.61152400662791,-38.547260397203594,-2.064263609424316
2021-10-10,0.0,40.76040392518086,-40.84573232950858,0.08532840432771849
2021-10-17,41.0,40.90914511086146,4.13104347041307,-4.040188581274528
2021-10-24,0.0,41.057743081504654,-41.4095043810151,0.3517612995104429
2021-10-31,43.0,41.206198047221534,2.9795444931124564,-1.1857425403339903
2021-11-07,37.0,41.35451215823023,-3.8690271294718483,-0.48548502875838295
2021-11-14,63.0,41.50269002136969,15.278303307838547,6.219006670791764
2021-11-21,0.0,41.65073698679537,-35.570393435459884,-6.080343551335488
2021-11-28,49.0,41.79865534303402,4.671762670416062,2.529581986549914
2021-12-05,36.0,41.94645230296751,-4.376094200261463,-1.5703581027060451
2021-12-12,42.0,42.09413593673228,-2.63661325932542,2.542477322593143
2021-12-19,55.0,42.241716491407,10.201464254481767,2.5568192541112396
2021-12-26,61.0,42.38920298811834,15.872078658979614,2.7387183529020405
2022-01-02,62.0,42.536601533063624,21.236637869668535,-1.773239402732159
2022-01-09,0.0,42.683915790715254,-42.504332229572135,-0.1795835611431187
2022-01-16,58.0,42.83115160619691,16.878943535991127,-1.7100951421880382
2022-01-23,0.0,42.97831712857162,-44.831824541447695,1.853507412876077
2022-01-30,0.0,43.125423385642364,-37.61737993514915,-5.508043450493211
2022-02-06,0.0,43.27248240786965,-41.49131006091063,-1.7811723469590248
2022-02-13,77.0,43.419515229551024,26.039523498989816,7.54096127145916
2022-02-20,69.0,43.56654784152357,23.04016571727051,2.393286441205916
2022-02-27,58.0,43.71359776233508,12.19680354797776,2.089598689687165
2022-03-06,77.0,43.8606742206109,29.387386067311386,3.7519397120777143
2022-03-13,49.0,44.00777649061774,10.672451872564476,-5.6802283631822235
2022-03-20,47.0,44.154891531236494,7.152433965014591,-4.307325496251089
2022-03-27,44.0,44.30200815988146,-0.5595720039983627,0.2575638441169019
2022-04-03,35.0,44.449116913788366,-5.972526280162424,-3.476590633625939
2022-04-10,57.0,44.59619872027569,10.742785286626107,1.6610159930982036
2022-04-17,51.0,44.743221498090975,7.664786748050991,-1.4080082461419678
2022-04-24,74.0,44.89011833743627,24.69157916403417,4.418302498529563
2022-05-01,57.0,45.03676564432038,15.577777288356582,-3.6145429326769687
2022-05-08,36.0,45.18293665459745,-6.162049757392538,-3.0208868972049103
2022-05-15,52.0,45.32827298385695,3.630113374121099,3.04161364202195
2022-05-22,65.0,45.47223456808987,19.790477313524658,-0.2627118816145284
2022-05-29,80.0,45.58608679499319,25.74499614154287,8.668917063463937
2022-06-05,41.0,45.69661123062986,5.2758562464932455,-9.97246747712311
2022-06-12,61.0,45.80371308410851,14.918190975058955,0.27809594083253586
2022-06-19,53.0,45.90728855025351,-21.531393295124197,28.624104744870678
2022-06-26,43.0,46.00691298247187,-0.5951699828625462,-2.4117429996093236
2022-07-03,69.0,46.101928534445314,5.157700310171796,17.74037115538289
2022-07-10,48.0,46.191904213038484,3.531399564271239,-1.7233037773097237
2022-07-17,76.0,46.276561516306785,20.335783877364424,9.387654606328795
2022-07-24,36.0,46.35567121104836,-1.0773524708912947,-9.278318740157069
2022-07-31,69.0,46.42878948864969,19.400855275306967,3.170355236043342
2022-08-07,32.0,46.49540266234204,12.988416930164028,-27.483819592506066
2022-08-14,74.0,46.55509569717106,22.426338605349034,5.018565697479907
2022-08-21,53.0,46.60757102627706,-31.507352029720654,37.89978100344359
2022-08-28,41.0,46.65286483132682,-21.016535060751842,15.363670229425018
2022-09-04,100.0,46.69135162318202,8.649792787739722,44.65885558907825
2022-09-11,70.0,46.723539980923775,4.781867836048545,18.494592183027677
2022-09-18,56.0,46.74986484255109,-25.128514805377726,34.37864996282664
2022-09-25,57.0,46.77072406129813,6.130569363183149,4.098706575518719
2022-10-02,53.0,46.78618414871448,-21.063288564696883,27.277104415982393
2022-10-09,56.0,46.79601599443707,-27.095038582610073,36.299022588173
2022-10-16,60.0,46.79986065842454,2.7251475984424385,10.474991743133018
2022-10-23,58.0,46.797278574515836,-42.76129214065216,53.96401356613632
2022-10-30,47.0,46.788085694308,0.9387038832581747,-0.7267895775661799
2022-11-06,46.0,46.772355630821885,-2.1541693319360125,1.381813701114126
2022-11-13,48.0,46.75020253350358,11.056293285000255,-9.806495818503834
2022-11-20,33.0,46.72187531172374,-19.76384641483661,6.041971103112864
2022-11-27,50.0,46.68775360345873,3.66469839855011,-0.35245200200883886
2022-12-04,49.0,46.64800565678986,-1.12741114725948,3.479405490469617
2022-12-11,31.0,46.60286762965185,0.9215287188068488,-16.524396348458694
2022-12-18,54.0,46.552626940637964,7.904750288561401,-0.4573772291993663
2022-12-25,41.0,46.497310016991314,-5.020772284798524,-0.4765377321927886
2023-01-01,0.0,46.43676807264685,4.365002089102609,-50.80177016174946
2023-01-08,51.0,46.37086502006769,-31.01995503145447,35.64909001138678
2023-01-15,68.0,46.299265460545065,14.313274223134943,7.387460316319995
2023-01-22,71.0,46.221460907397606,-25.755858866412545,50.534397959014946
2023-01-29,33.0,46.13690479632227,-21.208171454102366,8.0712666577801
2023-02-05,49.0,46.04494374769298,-29.17346130781877,32.128517560125786
2023-02-12,47.0,45.944814317142395,13.444847070528654,-12.389661387671048
2023-02-19,34.0,45.835789521601136,13.955033929272478,-25.790823450873614
2023-02-26,32.0,45.717502227284136,9.011316612331065,-22.7288188396152
2023-03-05,62.0,45.59002220783841,18.52215155984076,-2.112173767679174
2023-03-12,65.0,45.45345159295079,8.599324066840245,10.947224340208962
2023-03-19,55.0,45.30779941481525,7.291206131800374,2.400994453384378
2023-03-26,68.0,45.15308370167153,0.6018419982026105,22.245074300125857
2023-04-02,59.0,44.9893329761996,1.6100378484107667,12.400629175389632
2023-04-09,46.0,44.81683285109725,3.2839430366361566,-2.1007758877334126
2023-04-16,73.0,44.636173659225676,12.421809054180436,15.942017286593888
2023-04-23,35.0,44.44816577071887,10.707428420200396,-20.155594190919267
2023-04-30,60.0,44.25354351890811,8.139803610098127,7.606652870993763
2023-05-07,50.0,44.05294675290933,-3.54557631373278,9.492629560823453
2023-05-14,45.0,43.846906528816014,4.366027377570787,-3.2129339063868017
2023-05-21,27.0,43.6358467661981,13.261751267920422,-29.897598034118523
2023-05-28,43.0,43.4203713292186,12.004550646773513,-12.42492197599211
2023-06-04,39.0,43.2008962765446,-0.7687141656996299,-3.4321821108449697
2023-06-11,29.0,42.97781557109955,10.743075321085394,-24.72089089218494
2023-06-18,43.0,42.75176195873117,-6.036863605763744,6.285101647032569
2023-06-25,43.0,42.523301756641466,-4.060486825168539,4.537185068527073
2023-07-02,49.0,42.29322267729147,9.10552776396364,-2.3987504412551033
2023-07-09,39.0,42.06229473613816,-1.4970023244006425,-1.5652924117375235
2023-07-16,40.0,41.83124662774442,16.779142537635575,-18.610389165379996
2023-07-23,38.0,41.600436790021455,-3.9800041842342697,0.37956739421281327
2023-07-30,31.0,41.37001109215877,16.389186309925343,-26.759197402084112
2023-08-06,0.0,41.13990363651157,6.458455091196511,-47.59835872770808
2023-08-13,0.0,40.90975873589364,20.236601776397016,-61.146360512290656
2023-08-20,0.0,40.679084746400605,-22.30275580775896,-18.376328938641645
2023-08-27,40.0,40.44752079297434,-8.971101038020583,8.523580245046247
2023-09-03,43.0,40.21484231609849,4.835775451711678,-2.0506177678101665
2023-09-10,38.0,39.980880541890045,1.3736636150618826,-3.354544156951924
2023-09-17,30.0,39.745643410421614,-10.675224291110249,0.9295808806886328
2023-09-24,33.0,39.50913757641727,3.7999276863572726,-10.309065262774538
2023-10-01,42.0,39.27148896505909,-4.407775833105791,7.136286868046696
2023-10-08,51.0,39.033203085127894,-13.468025087567739,25.434822002439844
2023-10-15,39.0,38.79522380576347,1.535488254663815,-1.3307120604272882
2023-10-22,29.0,38.558716545260296,-44.2664231219173,34.707706576657
2023-10-29,46.0,38.32494960375764,-1.711894007089565,9.386944403331924
2023-11-05,36.0,38.095186608826815,-0.7594411353791298,-1.3357454734476875
2023-11-12,0.0,37.870318793407726,6.724750733149994,-44.59506952655772
2023-11-19,43.0,37.65110058263109,-5.379495893116571,10.728395310485482
2023-11-26,31.0,37.438203691043086,3.6818248836141065,-10.12002857465719
2023-12-03,39.0,37.23231967937911,2.2572526036002007,-0.4895722829793101
2023-12-10,47.0,37.03393387971848,4.0287678116305985,5.937298308650917
2023-12-17,27.0,36.84340159834117,6.099379778428784,-15.94278137676995
2023-12-24,0.0,36.66091513693243,-23.780152631360647,-12.880762505571784
2023-12-31,33.0,36.4865515568015,-12.521655627887789,9.035104071086288
2024-01-07,41.0,36.32032536042608,-19.662607772877866,24.34228241245178
2024-01-14,37.0,36.16233648459269,12.777154349156357,-11.939490833749048
2024-01-21,25.0,36.012643087675826,-5.984603866396848,-5.028039221278977
2024-01-28,32.0,35.87151961843129,-6.612488847438472,2.7409692290071774
2024-02-04,25.0,35.73937188307895,-16.93423965245905,6.194867769380096
