slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
mega_wide_pants,와이드 팬츠,mega,스테디,메가,성장,3.5402,-1.5027,0.4978,0.4648,0.0636,0.2036,0.7252,0.141,1.6667,1.0,100.0,62.0,262,52,2
mega_blazer,테일러드 자켓(블레이저),mega,메가,스테디,쇠퇴/잔존,2.5049,-1.3361,0.71,0.7852,-0.089,0.0295,0.3206,0.1137,2.2989,0.0,100.0,25.0,262,52,0
mega_trench_coat,트렌치코트,mega,메가,스테디,쇠퇴/잔존,0.447,-0.336,0.5219,0.8361,-0.1472,0.0968,0.0992,0.2756,4.5455,0.0,100.0,9.0,262,52,0
mega_oversized,오버사이즈 핏,mega,스테디,메가,성장,2.0758,-1.2734,0.3189,0.3082,0.0919,0.2115,0.6107,0.2476,1.8519,1.0,100.0,57.0,262,52,2
mega_cargo_pants,카고 팬츠,mega,스테디,마이크로,쇠퇴/잔존,0.4641,-0.8298,0.5733,0.3616,0.1699,0.0391,0.0534,0.2811,3.0303,1.0,100.0,33.0,262,52,2
mega_ugly_shoes,어글리슈즈(청키),mega,메가,마이크로,쇠퇴/잔존,-0.9175,1.4664,0.3434,0.1649,-0.5115,0.0814,0.0038,1.2071,5.5556,0.0,100.0,6.0,262,52,0
mega_slacks,슬랙스,mega,메가,메가,쇠퇴/잔존,2.6419,-1.2772,0.674,0.4467,-0.1017,0.0614,0.3817,0.1566,2.2727,0.0,100.0,35.0,262,52,0
mega_knit_vest,니트 베스트,mega,마이크로,마이크로,도입,-1.8793,1.9066,0.0074,0.047,-0.019,0.1047,0.1374,2.2801,1.7857,0.0,100.0,8.0,262,52,1
mega_crop_top,크롭 탑,mega,메가,마이크로,쇠퇴/잔존,-0.4649,-0.5798,0.3518,0.2846,-0.1038,0.0545,0.084,0.3259,3.5714,0.0,100.0,25.0,262,52,0
mega_wide_denim,와이드 데님,mega,스테디,마이크로,성장,0.5133,-0.6011,0.3477,0.3125,0.3013,0.277,0.2786,0.6066,2.1739,1.0,100.0,41.0,262,52,2
micro_balletcore,발레코어,micro,마이크로,마이크로,쇠퇴,-1.453,1.1192,0.2261,0.153,0.1903,-0.8457,0.0115,1.4044,3.5714,0.5709,100.0,14.0,262,52,1
micro_y2k,Y2K,micro,메가,마이크로,쇠퇴/잔존,-0.9592,1.3314,0.3309,0.2622,0.1628,0.0987,0.0076,0.5367,8.3333,0.4176,100.0,12.0,262,52,0
micro_geek_chic,긱시크,micro,마이크로,마이크로,쇠퇴,-1.2302,1.1939,0.2117,0.0332,0.2582,-0.3845,0.0687,1.4777,3.4483,0.705,100.0,13.0,262,52,1
micro_underboob,언더붑,micro,마이크로,마이크로,쇠퇴,-2.2664,5.1701,0.0562,0.0183,0.0437,-0.1027,0.0153,1.2192,16.6667,0.3487,100.0,3.0,262,52,1
micro_bootcut,부츠컷,micro,스테디,마이크로,성장,1.3212,-0.8107,0.6163,0.4281,0.2941,0.3106,0.1794,0.3297,2.8571,1.0,100.0,53.0,262,52,2
micro_city_boy,시티보이,micro,메가,마이크로,쇠퇴/잔존,-1.6423,-0.4222,0.0797,0.4892,-0.0438,-0.0128,0.1145,0.593,2.7778,0.1916,100.0,20.0,262,52,0
